operadora;localidade;UF;data;TOTAL_DE_CHAMADAS;PERDAS_OI_ABS;PERDAS_OI
Embratel;BARUERI;SP;2015-06-22;811;21;2,59
Telefônica;ITARARE;SP;2015-06-22;810;58;7,16
Embratel;SAO VICENTE;SP;2015-06-22;808;31;3,84
Embratel;ITAPETININGA;SP;2015-06-22;807;14;1,73
Telefônica;SANTA BARBARA D'OESTE;SP;2015-06-22;807;17;2,11
GVT;LAURO DE FREITAS;BA;2015-06-22;807;18;2,23
Telefônica;BARRA BONITA;SP;2015-06-22;806;13;1,61
OI Fixa;PARAIBA DO SUL;RJ;2015-06-22;804;2;0,25
BrT Fixa;COLIDER;MT;2015-06-22;796;113;14,2
Telefônica;APIAI;SP;2015-06-22;796;32;4,02
Telefônica;MIRASSOL;SP;2015-06-22;794;21;2,64
BrT Fixa;CATALAO;GO;2015-06-22;785;18;2,29
Telefônica;TAQUARITINGA;SP;2015-06-22;782;18;2,3
GVT;SUZANO;SP;2015-06-22;782;56;7,16
OI Fixa;DIAMANTINA;MG;2015-06-22;781;75;9,6
OI Fixa;PEDRO LEOPOLDO;MG;2015-06-22;779;19;2,44
Embratel;GOIANIA;GO;2015-06-22;773;57;7,37
BrT Fixa;PELOTAS;RS;2015-06-22;769;12;1,56
OI Fixa;CURVELO;MG;2015-06-22;768;38;4,95
Telefônica;TIETE;SP;2015-06-22;764;87;11,39
Telefônica;CRUZEIRO;SP;2015-06-22;764;31;4,06
BrT Fixa;PASSO FUNDO;RS;2015-06-22;759;5;0,66
GVT;CAMPO LARGO;PR;2015-06-22;758;15;1,98
GVT;NOVA IGUACU;RJ;2015-06-22;757;4;0,53
GVT;PATO BRANCO;PR;2015-06-22;755;22;2,91
BrT Fixa;GAMA;DF;2015-06-22;752;34;4,52
Embratel;GUARATINGUETA;SP;2015-06-22;750;5;0,67
Telefônica;SAO PEDRO;SP;2015-06-22;749;95;12,68
OI Fixa;VALENCA;BA;2015-06-22;744;125;16,8
Telefônica;SANTA BARBARA D OESTE;SP;2015-06-22;742;28;3,77
Embratel;VALINHOS;SP;2015-06-22;735;20;2,72
GVT;GOVERNADOR VALADARES;MG;2015-06-22;733;10;1,36
OI Fixa;ALAGOINHAS;BA;2015-06-22;732;14;1,91
OI Fixa;GUAXUPE;MG;2015-06-22;731;18;2,46
BrT Fixa;GUARATUBA;PR;2015-06-22;730;9;1,23
OI Fixa;PATROCINIO;MG;2015-06-22;729;14;1,92
Algar Telecom;NOVA SERRANA;MG;2015-06-22;728;17;2,34
GVT;GRAVATAI;RS;2015-06-22;727;12;1,65
BrT Fixa;ANAPOLIS;GO;2015-06-22;722;8;1,11
GVT;CAMACARI;BA;2015-06-22;722;8;1,11
BrT Fixa;JACIARA;MT;2015-06-22;721;91;12,62
Telefônica;CAPAO BONITO;SP;2015-06-22;718;30;4,18
Telefônica;IBITINGA;SP;2015-06-22;718;16;2,23
Embratel;MARILIA;SP;2015-06-22;717;3;0,42
GVT;PELOTAS;RS;2015-06-22;716;27;3,77
OI Fixa;VASSOURAS;RJ;2015-06-22;710;22;3,1
Embratel;PALMAS;TO;2015-06-22;708;43;6,07
BrT Fixa;RIO VERDE;GO;2015-06-22;705;21;2,98
BrT Fixa;SAO BENTO DO SUL;SC;2015-06-22;701;35;4,99
OI Fixa;SABARA;MG;2015-06-22;700;23;3,29
OI Fixa;VIANA;ES;2015-06-22;695;5;0,72
OI Fixa;PONTE NOVA;MG;2015-06-22;693;22;3,17
Telefônica;AMPARO;SP;2015-06-22;690;73;10,58
BrT Fixa;PIMENTA BUENO;RO;2015-06-22;687;26;3,78
Telefônica;CAPIVARI;SP;2015-06-22;685;102;14,89
OI Fixa;IPIAU;BA;2015-06-22;683;25;3,66
OI Fixa;PARATI;RJ;2015-06-22;682;10;1,47
OI Fixa;ITAPETINGA;BA;2015-06-22;682;42;6,16
Embratel;CAMPO GRANDE;MS;2015-06-22;681;84;12,33
BrT Fixa;VALPARAISO DE GOIAS;GO;2015-06-22;679;32;4,71
GVT;MAUA;SP;2015-06-22;677;42;6,2
Telefônica;PIEDADE;SP;2015-06-22;677;67;9,9
Embratel;GUARUJA;SP;2015-06-22;676;27;3,99
Telefônica;PRESIDENTE EPITACIO;SP;2015-06-22;675;16;2,37
OI Fixa;BARCARENA;PA;2015-06-22;671;69;10,28
GVT;CAMPO MOURAO;PR;2015-06-22;670;151;22,54
BrT Fixa;CAMPO VERDE;MT;2015-06-22;670;15;2,24
Telefônica;ITAPIRA;SP;2015-06-22;669;78;11,66
