operadora;localidade;UF;data;TOTAL_DE_CHAMADAS;PERDAS_OI_ABS;PERDAS_OI
OI Fixa;MONTE ALEGRE;RJ;2015-06-22;7;2;28,57
BrT Fixa;FILADELFIA;TO;2015-06-22;7;2;28,57
BrT Fixa;LAURENTINO;SC;2015-06-22;7;0;0
BrT Fixa;SAO LUIZ DO NORTE;GO;2015-06-22;7;0;0
OI Fixa;MARILANDIA;MG;2015-06-22;7;0;0
BrT Fixa;SAO BENTO DO SU;SC;2015-06-22;7;1;14,29
Telefônica;RECHAN;SP;2015-06-22;7;2;28,57
GVT;PRESIDENTE EPITACIO;SP;2015-06-22;7;0;0
GVT;TAQUATINGA;DF;2015-06-22;7;0;0
OI Fixa;JATOBA;PE;2015-06-22;7;0;0
BrT Fixa;PINHALZINHO;SC;2015-06-22;7;1;14,29
BrT Fixa;SAO FELIX DO TOCANTINS;TO;2015-06-22;7;0;0
BrT Fixa;DOM PEDRO DE ALCANTARA;RS;2015-06-22;7;0;0
BrT Fixa;CURVELANDIA;MT;2015-06-22;7;0;0
BrT Fixa;VILA MARIA;RS;2015-06-22;7;0;0
Nao Encontrado;ITAJAI;SC;2015-06-22;7;0;0
OI Fixa;SANTA LUZ;BA;2015-06-22;7;0;0
Telefônica;TIBIRICA;SP;2015-06-22;7;0;0
BrT Fixa;BONOPOLIS;GO;2015-06-22;7;0;0
OI Fixa;LARANJAL;MG;2015-06-22;7;0;0
OI Fixa;CAPELA DO ALTO ALEGRE;BA;2015-06-22;7;0;0
OI Fixa;SANTA MARIA DO SALTO;MG;2015-06-22;7;0;0
Embratel;AQUIRAZ;CE;2015-06-22;7;0;0
BrT Fixa;COQUEIROS DO SUL;RS;2015-06-22;7;4;57,14
OI Fixa;LORETO;MA;2015-06-22;7;1;14,29
BrT Fixa;COLINAS;TO;2015-06-22;7;0;0
OI Fixa;CONRADO;RJ;2015-06-22;7;0;0
BrT Fixa;PARECIS;RO;2015-06-22;7;2;28,57
OI Fixa;BURITI DOS LOPES;PI;2015-06-22;7;0;0
OI Fixa;HUMBERTO DE CAMPOS;MA;2015-06-22;7;1;14,29
OI Fixa;PASSA TEMPO;MG;2015-06-22;7;1;14,29
OI Fixa;SERENO;MG;2015-06-22;7;0;0
OI Fixa;AUGUSTO DE LIMA;MG;2015-06-22;7;0;0
BrT Fixa;TUPASSI;PR;2015-06-22;7;3;42,86
OI Fixa;PORANGA;CE;2015-06-22;7;0;0
Telefônica;NOVA GUATAPORANGA;SP;2015-06-22;7;0;0
OI Fixa;ROCHEDO DE MINAS;MG;2015-06-22;7;0;0
BrT Fixa;BABACULANDIA;TO;2015-06-22;7;2;28,57
OI Fixa;SENADOR ALEXANDRE COSTA;MA;2015-06-22;7;0;0
OI Fixa;CACHOEIRA DOURADA;MG;2015-06-22;7;0;0
Algar Telecom;SAO SEBASTIAO DO PONTAL;MG;2015-06-22;7;0;0
OI Fixa;ANTONIO PEREIRA;MG;2015-06-22;7;0;0
BrT Fixa;CATANDUVAS;SC;2015-06-22;7;0;0
OI Fixa;ILHA DAS FLORES;SE;2015-06-22;7;0;0
BrT Fixa;ALEXANDRA;PR;2015-06-22;7;0;0
BrT Fixa;SAO VICENTE;SP;2015-06-22;7;0;0
Embratel;SAO JOSE DE RIBAMAR;MA;2015-06-22;7;0;0
Embratel;BARBACENA;MG;2015-06-22;7;0;0
OI Fixa;QUIPAPA;PE;2015-06-22;7;0;0
OI Fixa;BELA VISTA DO CARACOL;PA;2015-06-22;7;0;0
OI Fixa;LARANJA DA TERRA;ES;2015-06-22;7;0;0
OI Fixa;JOSE DE FREITAS;PI;2015-06-22;7;0;0
BrT Fixa;PLANALTO;PR;2015-06-22;7;0;0
OI Fixa;ARAPONGA;MG;2015-06-22;7;1;14,29
Embratel;CABO DE SANTO AGOSTINHO;PE;2015-06-22;7;1;14,29
OI Fixa;SENHORA DAS DORES;MG;2015-06-22;7;1;14,29
OI Fixa;ICHU;BA;2015-06-22;7;0;0
BrT Fixa;GOVERNADOR CELSO RAMOS;SC;2015-06-22;7;0;0
GVT;JABOATAO DOS GU;PE;2015-06-22;7;0;0
OI Fixa;FORMOSA DA SERRA NEGRA;MA;2015-06-22;7;2;28,57
OI Fixa;BATALHA;AL;2015-06-22;7;0;0
OI Fixa;SAO JOSE DA SAFIRA;MG;2015-06-22;7;0;0
OI Fixa;VELHA BOIPEBA;BA;2015-06-22;7;0;0
OI Fixa;BARRO;CE;2015-06-22;7;0;0
OI Fixa;LAGOA DE PEDRAS;RN;2015-06-22;7;0;0
OI Fixa;SANTA CRUZ DE SALINAS;MG;2015-06-22;7;2;28,57
Algar Telecom;JUIZ DE FORA;MG;2015-06-22;7;3;42,86
Telefônica;OSCAR BRESSANE;SP;2015-06-22;7;0;0
Algar Telecom;NUPORANGA;SP;2015-06-22;7;0;0
OI Fixa;IGUARACI;PE;2015-06-22;6;0;0
BrT Fixa;CASCATA;RS;2015-06-22;6;1;16,67
OI Fixa;HELVECIA;BA;2015-06-22;6;0;0
BrT Fixa;SAO MIGUEL DO IGUACU;PR;2015-06-22;6;0;0
OI Fixa;ARACAI;MG;2015-06-22;6;0;0
Embratel;CAMPO LARGO;PR;2015-06-22;6;0;0
BrT Fixa;PONTE ALTA DO BOM JESUS;TO;2015-06-22;6;0;0
OI Fixa;CAPELA;SE;2015-06-22;6;0;0
BrT Fixa;SAO LOURENCO DO OESTE;SC;2015-06-22;6;1;16,67
OI Fixa;CANAPOLIS;BA;2015-06-22;6;0;0
OI Fixa;ITABAIANA;PB;2015-06-22;6;0;0
Idt Brasil;UCHOA;SP;2015-06-22;6;0;0
OI Fixa;BARRINHA;SP;2015-06-22;6;0;0
OI Fixa;PORTO DA FOLHA;SE;2015-06-22;6;0;0
BrT Fixa;SETE QUEDAS;MS;2015-06-22;6;0;0
BrT Fixa;PRESIDENTE NEREU;SC;2015-06-22;6;0;0
BrT Fixa;MONTIVIDIU DO NORTE;GO;2015-06-22;6;0;0
BrT Fixa;ITA;SC;2015-06-22;6;0;0
BrT Fixa;RIACHINHO;TO;2015-06-22;6;0;0
Telefônica;SANTA RITA D'OESTE;SP;2015-06-22;6;0;0
BrT Fixa;CALDAZINHA;GO;2015-06-22;6;0;0
BrT Fixa;DOIS LAJEADOS;RS;2015-06-22;6;0;0
OI Fixa;LAGOA DO MATO;CE;2015-06-22;6;0;0
OI Fixa;ARARIPE;CE;2015-06-22;6;1;16,67
BrT Fixa;SANTA BARBARA DO SUL;RS;2015-06-22;6;0;0
BrT Fixa;CONQUISTA D'OESTE;MT;2015-06-22;6;1;16,67
OI Fixa;RETIROLANDIA;BA;2015-06-22;6;0;0
OI Fixa;ILHA GRANDE;RJ;2015-06-22;6;0;0
OI Fixa;PUXINANA;PB;2015-06-22;6;1;16,67
Embratel;SANTA TERESA;ES;2015-06-22;6;6;100
BrT Fixa;UNIAO DO SUL;MT;2015-06-22;6;0;0
OI Fixa;TAIPU;RN;2015-06-22;6;0;0
OI Fixa;SANTA RITA DO IBITIPOCA;MG;2015-06-22;6;0;0
BrT Fixa;ESTACAO;RS;2015-06-22;6;0;0
BrT Fixa;LOBATO;PR;2015-06-22;6;0;0
BrT Fixa;PAULO LOPES;SC;2015-06-22;6;0;0
BrT Fixa;CAMPINACU;GO;2015-06-22;6;0;0
BrT Fixa;RIALMA;GO;2015-06-22;6;0;0
BrT Fixa;VITOR MEIRELES;SC;2015-06-22;6;0;0
OI Fixa;PESCADOR;MG;2015-06-22;6;6;100
OI Fixa;JAPARATINGA;AL;2015-06-22;6;0;0
OI Fixa;SAO JOAO DO MERITI;RJ;2015-06-22;6;0;0
OI Fixa;HELIODORA;MG;2015-06-22;6;0;0
BrT Fixa;TESOURO;MT;2015-06-22;6;0;0
OI Fixa;SANTO EDUARDO;RJ;2015-06-22;6;0;0
OI Fixa;LIMOEIRO DE ANADIA;AL;2015-06-22;6;0;0
OI Fixa;VERDELANDIA;MG;2015-06-22;6;0;0
BrT Fixa;IOMERE;SC;2015-06-22;6;0;0
BrT Fixa;PALMARES DO SUL;RS;2015-06-22;6;0;0
GVT;MONTE APRAZIVEL;SP;2015-06-22;6;0;0
BrT Fixa;VERE;PR;2015-06-22;6;0;0
Telefônica;NOVA CANAA PAULISTA;SP;2015-06-22;6;0;0
OI Fixa;CITROLANDIA;MG;2015-06-22;6;0;0
BrT Fixa;VENTANIA;PR;2015-06-22;6;0;0
OI Fixa;PANELAS;PE;2015-06-22;6;0;0
GVT;BALNEARIO BARRA DO SUL;SC;2015-06-22;6;0;0
OI Fixa;PEDRA BONITA;MG;2015-06-22;6;0;0
OI Fixa;TIMBIRAS;MA;2015-06-22;6;1;16,67
Telefônica;PARISI;SP;2015-06-22;6;0;0
Embratel;LEME;SP;2015-06-22;6;0;0
OI Fixa;SAO BENTO;PB;2015-06-22;6;0;0
BrT Fixa;TERRA ROXA;PR;2015-06-22;6;1;16,67
OI Fixa;ARAME;MA;2015-06-22;6;0;0
OI Fixa;ROSAL;RJ;2015-06-22;6;0;0
OI Fixa;ITAPIUNA;CE;2015-06-22;6;0;0
Embratel;ITANHAEM;SP;2015-06-22;6;0;0
BrT Fixa;BARBOSA FERRAZ;PR;2015-06-22;6;0;0
America Net;SANTO ANDRE;SP;2015-06-22;6;0;0
BrT Fixa;QUATRO PONTES;PR;2015-06-22;6;0;0
OI Fixa;SERRA BRANCA;PB;2015-06-22;6;0;0
GVT;GOIOERE;PR;2015-06-22;6;0;0
BrT Fixa;TARAUACA;AC;2015-06-22;6;1;16,67
OI Fixa;PADRE VIEGAS;MG;2015-06-22;6;0;0
BrT Fixa;TANGARA;SC;2015-06-22;6;1;16,67
BrT Fixa;PARAISO;TO;2015-06-22;6;1;16,67
OI Fixa;BEQUIMAO;MA;2015-06-22;6;0;0
Embratel;CRICIUMA;SC;2015-06-22;6;0;0
OI Fixa;ALTO SANTO;CE;2015-06-22;6;0;0
Sercomtel Fixa;IRATI;PR;2015-06-22;6;0;0
BrT Fixa;IRACEMA DO OESTE;PR;2015-06-22;6;0;0
BrT Fixa;DESCANSO;SC;2015-06-22;6;0;0
OI Fixa;QUATIPURU;PA;2015-06-22;6;0;0
GVT;SAO JOSE DOS CAMPOS;SP;2015-06-22;6;1;16,67
BrT Fixa;FORMIGUEIRO;RS;2015-06-22;6;0;0
BrT Fixa;ITAGUATINS;TO;2015-06-22;6;0;0
GVT;TEIXEIRA SOARES;PR;2015-06-22;6;0;0
OI Fixa;CIPOTANEA;MG;2015-06-22;6;0;0
OI Fixa;GUINE;BA;2015-06-22;6;0;0
BrT Fixa;GUARAITUBA;PR;2015-06-22;6;0;0
BrT Fixa;NOVO SANTO ANTONIO;MT;2015-06-22;6;0;0
BrT Fixa;PINHAL GRANDE;RS;2015-06-22;6;0;0
Telefônica;SANTA BARBARA DOESTE;SP;2015-06-22;6;0;0
Embratel;PASSOS;MG;2015-06-22;6;0;0
BrT Fixa;DOVERLANDIA;GO;2015-06-22;6;0;0
OI Fixa;SAO JOSE DO VALE DO RIO;RJ;2015-06-22;6;0;0
GVT;JABOTICABAL;SP;2015-06-22;6;0;0
BrT Fixa;ERVAL GRANDE;RS;2015-06-22;6;0;0
Embratel;PINHEIROS;SP;2015-06-22;6;1;16,67
BrT Fixa;MANCIO LIMA;AC;2015-06-22;6;1;16,67
OI Fixa;SAO GABRIEL;BA;2015-06-22;6;0;0
Telefônica;LAVRINHAS;SP;2015-06-22;6;1;16,67
BrT Fixa;ENTRE-IJUIS;RS;2015-06-22;6;0;0
OI Fixa;NORDESTINA;BA;2015-06-22;6;0;0
OI Fixa;CAMPO GRANDE;RN;2015-06-22;6;0;0
TVN;CANOAS;RS;2015-06-22;6;0;0
OI Fixa;SITIO NOVO;MA;2015-06-22;6;0;0
OI Fixa;AZURITA;MG;2015-06-22;6;0;0
BrT Fixa;SANTA AMELIA;PR;2015-06-22;6;0;0
OI Fixa;VARGEM ALEGRE;RJ;2015-06-22;6;0;0
OI Fixa;SALGADO;SE;2015-06-22;6;0;0
OI Fixa;POCRANE;MG;2015-06-22;6;6;100
BrT Fixa;ORIZONA;GO;2015-06-22;6;0;0
Embratel;JABOTICABAL;SP;2015-06-22;6;0;0
OI Fixa;LARANJAIS;RJ;2015-06-22;6;0;0
Embratel;ARAUCARIA;PR;2015-06-22;6;0;0
OI Fixa;BIAS FORTES;MG;2015-06-22;6;0;0
OI Fixa;NOVA PETROPOLIS;RS;2015-06-22;6;2;33,33
Telefônica;JAFA;SP;2015-06-22;6;0;0
OI Fixa;LOURENCO;AP;2015-06-22;6;0;0
BrT Fixa;PALMELO;GO;2015-06-22;6;0;0
OI Fixa;GUIRAPA;BA;2015-06-22;6;0;0
Telefônica;UNIAO PAULISTA;SP;2015-06-22;6;0;0
OI Fixa;LAGOA GRANDE;PE;2015-06-22;6;0;0
Telefônica;MACEDONIA;SP;2015-06-22;6;1;16,67
Sercomtel Fixa;ASTORGA;PR;2015-06-22;6;0;0
BrT Fixa;AGRONOMICA;SC;2015-06-22;6;0;0
BrT Fixa;BARAO DE MELGACO;MT;2015-06-22;6;0;0
BrT Fixa;TURVO;PR;2015-06-22;6;0;0
OI Fixa;SAO JOSE DO JACURI;MG;2015-06-22;6;0;0
Telefônica;APARECIDA DO OESTE;SP;2015-06-22;6;1;16,67
GVT;JUINA;MT;2015-06-22;6;2;33,33
OI Fixa;PALMITAL DOS CARVALHOS;MG;2015-06-22;6;1;16,67
OI Fixa;DOUTOR SEVERIANO;RN;2015-06-22;6;0;0
OI Fixa;AGUA DOCE DO MARANHAO;MA;2015-06-22;6;0;0
BrT Fixa;IMBAU;PR;2015-06-22;6;6;100
OI Fixa;COCAIS;MG;2015-06-22;6;0;0
WCS;SAO PAULO;SP;2015-06-22;6;0;0
OI Fixa;BOQUIM;SE;2015-06-22;6;0;0
Telefônica;MURUTINGA DO SUL;SP;2015-06-22;6;0;0
OI Fixa;CORONEL PACHECO;MG;2015-06-22;6;0;0
BrT Fixa;PEDRAS GRANDES;SC;2015-06-22;6;1;16,67
Nao Encontrado;UBERLANDIA;MG;2015-06-22;6;0;0
Embratel;DIVINOPOLIS;MG;2015-06-22;6;1;16,67
BrT Fixa;AMETISTA DO SUL;RS;2015-06-22;6;0;0
OI Fixa;ITAPAGE;CE;2015-06-22;6;0;0
OI Fixa;SENADOR CORTES;MG;2015-06-22;6;0;0
BrT Fixa;CARLOPOLIS;PR;2015-06-22;6;3;50
BrT Fixa;ANTONIO OLINTO;PR;2015-06-22;5;2;40
OI Fixa;BREJO GRANDE;SE;2015-06-22;5;0;0
Vivo Fixo;CONTAGEM;MG;2015-06-22;5;1;20
Embratel;CAMARAGIBE;PE;2015-06-22;5;0;0
Algar Telecom;SAO JOSE DOS CAMPOS;SP;2015-06-22;5;1;20
OI Fixa;BREJO DA MADRE DE DEUS;PE;2015-06-22;5;0;0
OI Fixa;BUGRE;MG;2015-06-22;5;1;20
BrT Fixa;TEOTONIA;RS;2015-06-22;5;0;0
BrT Fixa;SANTA TEREZINHA DO TOCANTINS;TO;2015-06-22;5;0;0
OI Fixa;CARIUS;CE;2015-06-22;5;0;0
Embratel;EMBU;SP;2015-06-22;5;0;0
OI Fixa;XEXEU;PE;2015-06-22;5;0;0
BrT Fixa;NOVA LARANJEIRAS;PR;2015-06-22;5;1;20
OI Fixa;ITAIBA;PE;2015-06-22;5;0;0
BrT Fixa;ICARAIMA;PR;2015-06-22;5;0;0
BrT Fixa;VALE VERDE;RS;2015-06-22;5;0;0
OI Fixa;BOQUEIRAO;PB;2015-06-22;5;3;60
Nao Encontrado;ITAPEMA;SC;2015-06-22;5;1;20
Embratel;MONTENEGRO;RS;2015-06-22;5;0;0
BrT Fixa;LUIZIANA;PR;2015-06-22;5;0;0
OI Fixa;SAO JOAO BATISTA;MA;2015-06-22;5;1;20
BrT Fixa;RESERVA;PR;2015-06-22;5;0;0
BrT Fixa;ALOANDIA;GO;2015-06-22;5;0;0
OI Fixa;UIRAMUTA;RR;2015-06-22;5;2;40
Engevox;TEIXEIRA DE FRE;BA;2015-06-22;5;0;0
Telefônica;ARCO-IRIS;SP;2015-06-22;5;0;0
BrT Fixa;MANOEL VIANA;RS;2015-06-22;5;0;0
OI Fixa;COITE DO NOIA;AL;2015-06-22;5;0;0
BrT Fixa;FIGUEIROPOLIS D'OESTE;MT;2015-06-22;5;1;20
GVT;SANTA RITA;PB;2015-06-22;5;0;0
OI Fixa;CORREGO DO BOM JESUS;MG;2015-06-22;5;1;20
BrT Fixa;ITAMBE;PR;2015-06-22;5;1;20
BrT Fixa;ATALANTA;SC;2015-06-22;5;0;0
BrT Fixa;ARROIO DO TIGRE;RS;2015-06-22;5;1;20
BrT Fixa;ARAGUANA;TO;2015-06-22;5;0;0
OI Fixa;SANTA RITA DE OURO PRETO;MG;2015-06-22;5;0;0
OI Fixa;MANSIDAO;BA;2015-06-22;5;1;20
OI Fixa;IMBE DE MINAS;MG;2015-06-22;5;0;0
Embratel;SAO GONCALO DO AMARANTE;RN;2015-06-22;5;0;0
Vivo Fixo;SAO GONCALO;RJ;2015-06-22;5;0;0
OI Fixa;SERRA DO CIPO;MG;2015-06-22;5;0;0
BrT Fixa;POXOREO;MT;2015-06-22;5;0;0
OI Fixa;CAJUEIRO;AL;2015-06-22;5;0;0
BrT Fixa;GODOY MOREIRA;PR;2015-06-22;5;0;0
BrT Fixa;LINDOLFO COLLOR;RS;2015-06-22;5;0;0
OI Fixa;SIMAO PEREIRA;MG;2015-06-22;5;0;0
OI Fixa;FLEXEIRAS;AL;2015-06-22;5;0;0
OI Fixa;PIAU;MG;2015-06-22;5;0;0
BrT Fixa;QUINZE DE NOVEMBRO;RS;2015-06-22;5;0;0
GVT;SANTANA DO PARAISO;MG;2015-06-22;5;0;0
BrT Fixa;CAMPESTRE DE GOIAS;GO;2015-06-22;5;0;0
GVT;CIPO;BA;2015-06-22;5;0;0
OI Fixa;SANTO ANTONIO DO ITAMBE;MG;2015-06-22;5;1;20
OI Fixa;PEDRA DOURADA;MG;2015-06-22;5;0;0
BrT Fixa;PEQUIZEIRO;TO;2015-06-22;5;0;0
OI Fixa;GOIABEIRA;MG;2015-06-22;5;4;80
Embratel;BERTIOGA;SP;2015-06-22;5;1;20
OI Fixa;MATUTINA;MG;2015-06-22;5;0;0
OI Fixa;SANTA ISABEL DO PARA;PA;2015-06-22;5;1;20
Telefônica;SANTANA DA PONTE PENSA;SP;2015-06-22;5;1;20
BrT Fixa;SANCLERLANDIA;GO;2015-06-22;5;0;0
OI Fixa;NAZARIA;PI;2015-06-22;5;0;0
BrT Fixa;IGUARACU;PR;2015-06-22;5;1;20
OI Fixa;PLANALTO;BA;2015-06-22;5;0;0
OI Fixa;MIRADOR;MA;2015-06-22;5;0;0
BrT Fixa;XAPURI;AC;2015-06-22;5;0;0
BrT Fixa;CAFEARA;PR;2015-06-22;5;0;0
OI Fixa;ELESBAO VELOSO;PI;2015-06-22;5;0;0
OI Fixa;EUCLIDELANDIA;RJ;2015-06-22;5;1;20
Algar Telecom;IBIA;MG;2015-06-22;5;0;0
Embratel;CALDAS NOVAS;GO;2015-06-22;5;0;0
BrT Fixa;PALOTINA;PR;2015-06-22;5;0;0
OI Fixa;NOVA CRUZ;RN;2015-06-22;5;0;0
BrT Fixa;NOVA AMERICA DA COLINA;PR;2015-06-22;5;0;0
OI Fixa;MAIOBA;MA;2015-06-22;5;0;0
OI Fixa;ALTER DO CHAO;PA;2015-06-22;5;2;40
BrT Fixa;VISTA GAUCHA;RS;2015-06-22;5;0;0
Embratel;GRAVATAI;RS;2015-06-22;5;1;20
OI Fixa;RIO PRETO DA EVA;AM;2015-06-22;5;0;0
BrT Fixa;MUTUNOPOLIS;GO;2015-06-22;5;0;0
Embratel;ITUMBIARA;GO;2015-06-22;5;0;0
OI Fixa;JAPARATUBA;SE;2015-06-22;5;2;40
Embratel;SANTA BARBARA DO OESTE;SP;2015-06-22;5;0;0
OI Fixa;SILVEIRANIA;MG;2015-06-22;5;0;0
BrT Fixa;SANTA CECILIA DO PAVAO;PR;2015-06-22;5;0;0
OI Fixa;CONSOLACAO;MG;2015-06-22;5;0;0
OI Fixa;BREJOLANDIA;BA;2015-06-22;5;1;20
OI Fixa;ONCA DE PITANGUI;MG;2015-06-22;5;0;0
OI Fixa;SAO BENEDITO DO SUL;PE;2015-06-22;5;0;0
OI Fixa;VILA NOVA DE CAMPOS;RJ;2015-06-22;5;2;40
BrT Fixa;RIVERLANDIA;GO;2015-06-22;5;0;0
Telefônica;SANTA LUZIA;MG;2015-06-22;5;0;0
OI Fixa;SAO JOAO DA SERRA;PI;2015-06-22;5;0;0
Telefônica;SAOPAULO;SP;2015-06-22;5;0;0
Telefônica;IGARAI;SP;2015-06-22;5;1;20
OI Fixa;ANTONIO PRADO DE MINAS;MG;2015-06-22;5;1;20
BrT Fixa;JANDAIA;GO;2015-06-22;5;0;0
BrT Fixa;ELDORADO;MS;2015-06-22;5;0;0
OI Fixa;DIOGO DE VASCONCELOS;MG;2015-06-22;5;0;0
OI Fixa;SAO MIGUEL DE TOUROS;RN;2015-06-22;5;0;0
Telefônica;ARARI;MA;2015-06-22;5;0;0
BrT Fixa;IPUACU;SC;2015-06-22;5;2;40
BrT Fixa;TAPEJARA;PR;2015-06-22;5;0;0
OI Fixa;PASSA VINTE;MG;2015-06-22;5;0;0
OI Fixa;CARANAIBA;MG;2015-06-22;5;0;0
BrT Fixa;VILA PROPICIO;GO;2015-06-22;5;0;0
Embratel;FRANCISCO MORATO;SP;2015-06-22;5;0;0
BrT Fixa;SANTA MARIA DO HERVAL;RS;2015-06-22;5;1;20
Embratel;NOVA ODESSA;SP;2015-06-22;5;0;0
America Net;RIO DE JANEIRO;RJ;2015-06-22;5;0;0
OI Fixa;GUARARA;MG;2015-06-22;5;0;0
Embratel;MARACANAU;CE;2015-06-22;5;1;20
OI Fixa;GOVERNADOR LOMANTO JUNIOR;BA;2015-06-22;5;0;0
OI Fixa;GRANJEIRO;CE;2015-06-22;5;0;0
BrT Fixa;SAO MARTINHO;RS;2015-06-22;5;0;0
BrT Fixa;ARATIBA;RS;2015-06-22;5;0;0
BrT Fixa;ANTA GORDA;RS;2015-06-22;5;0;0
OI Fixa;MESSIAS;AL;2015-06-22;5;0;0
BrT Fixa;CRUZEIRO DO OESTE;PR;2015-06-22;5;0;0
OI Fixa;PRESIDENTE SARNEY;MA;2015-06-22;5;0;0
OI Fixa;PEDRA DO ANTA;MG;2015-06-22;5;0;0
BrT Fixa;BERNARDO SAYAO;TO;2015-06-22;5;0;0
OI Fixa;SAO CAETANO DE ODIVELAS;PA;2015-06-22;5;1;20
Nao Encontrado;AFUA;PA;2015-06-22;5;0;0
Telefônica;JOAO RAMALHO;SP;2015-06-22;5;0;0
OI Fixa;SAO JOSE DE MIPIBU;RN;2015-06-22;5;0;0
BrT Fixa;SARANDI;PR;2015-06-22;5;0;0
OI Fixa;GRACCHO CARDOSO;SE;2015-06-22;5;0;0
OI Fixa;SAO JOAO DE PIRABAS;PA;2015-06-22;5;0;0
OI Fixa;BARRA LONGA;MG;2015-06-22;5;0;0
OI Fixa;TOME-ACU;PA;2015-06-22;5;0;0
OI Fixa;MARIPA DE MINAS;MG;2015-06-22;5;0;0
BrT Fixa;NOVA IGUACU DE GOIAS;GO;2015-06-22;5;0;0
OI Fixa;CAMPO GRANDE;AL;2015-06-22;5;0;0
Embratel;TAGUATINGA NORTE;DF;2015-06-22;5;0;0
BrT Fixa;SAO JOSE DO POVO;MT;2015-06-22;5;0;0
BrT Fixa;LAJEADO GRANDE;SC;2015-06-22;5;0;0
OI Fixa;IBERTIOGA;MG;2015-06-22;5;0;0
OI Fixa;JERICO;PB;2015-06-22;5;2;40
Telefônica;BARAO DE ANTONINA;SP;2015-06-22;5;0;0
OI Fixa;PEDRO LESSA;MG;2015-06-22;5;0;0
BrT Fixa;SAO JORGE D OESTE;PR;2015-06-22;5;0;0
OI Fixa;VERTENTES;PE;2015-06-22;5;0;0
BrT Fixa;MUNHOZ DE MELO;PR;2015-06-22;5;1;20
OI Fixa;FELICIO DOS SANTOS;MG;2015-06-22;5;0;0
BrT Fixa;LUCIARA;MT;2015-06-22;5;0;0
BrT Fixa;NOVO BRASIL;GO;2015-06-22;5;0;0
BrT Fixa;BATEIAS;PR;2015-06-22;5;0;0
Telefônica;SAO JOAO DE IRACEMA;SP;2015-06-22;5;0;0
BrT Fixa;RIO DAS ANTAS;SC;2015-06-22;5;1;20
OI Fixa;CATARINA;CE;2015-06-22;5;0;0
BrT Fixa;ARAMBARE;RS;2015-06-22;5;0;0
OI Fixa;NOSSA SENHORA DAS DORES;SE;2015-06-22;5;0;0
OI Fixa;IPIXUNA DO PARA;PA;2015-06-22;5;0;0
OI Fixa;CARNAIBA DO SERTAO;BA;2015-06-22;5;0;0
Embratel;STO ANDRE;SP;2015-06-22;5;0;0
OI Fixa;LAGOA DO CARRO;PE;2015-06-22;5;0;0
OI Fixa;RIO CLARO;SP;2015-06-22;5;0;0
GVT;LINDOLFO COLLOR;RS;2015-06-22;5;0;0
OI Fixa;ARACOIABA;PE;2015-06-22;5;0;0
BrT Fixa;BANDEIRANTES;MS;2015-06-22;5;0;0
OI Fixa;SANTANA DO MANHUACU;MG;2015-06-22;5;1;20
Sercomtel Fixa;FLORESTOPOLIS;PR;2015-06-22;5;0;0
OI Fixa;CRUCILANDIA;MG;2015-06-22;5;0;0
OI Fixa;ICARAI DE MINAS;MG;2015-06-22;5;1;20
GVT;SAO JOSE DO RIO PRETO;SP;2015-06-22;5;0;0
OI Fixa;ITAPORANGA D'AJUDA;SE;2015-06-22;5;0;0
GVT;ARACRUZ;ES;2015-06-22;5;0;0
OI Fixa;DELFINOPOLIS;MG;2015-06-22;5;0;0
BrT Fixa;NOVO BARREIRO;RS;2015-06-22;5;0;0
OI Fixa;GROAIRAS;CE;2015-06-22;5;1;20
BrT Fixa;SAO JOAO D ALIANCA;GO;2015-06-22;5;0;0
BrT Fixa;PRIMAVERA DE RONDONIA;RO;2015-06-22;5;0;0
BrT Fixa;UBERLANDIA;GO;2015-06-22;5;0;0
OI Fixa;CRUZ DO ESPIRITO SANTO;PB;2015-06-22;5;0;0
OI Fixa;SAO FRANCISCO DO MARANHAO;MA;2015-06-22;5;2;40
OI Fixa;AGUA COMPRIDA;MG;2015-06-22;5;1;20
OI Fixa;URUCANIA;MG;2015-06-22;5;3;60
OI Fixa;SAO TOME;RN;2015-06-22;5;0;0
BrT Fixa;NOVA ESPERANCA DO SUL;RS;2015-06-22;5;0;0
BrT Fixa;NOVA GUARITA;MT;2015-06-22;5;1;20
BrT Fixa;TANGARA SERRA;MT;2015-06-22;5;0;0
GVT;FUNDAO;ES;2015-06-22;5;0;0
OI Fixa;CONEGO MARINHO;MG;2015-06-22;5;0;0
BrT Fixa;CATURAI;GO;2015-06-22;4;1;25
BrT Fixa;ESPIGAO ALTO DO IGUACU;PR;2015-06-22;4;0;0
Algar Telecom;CAMPO LIMPO PAULISTA;SP;2015-06-22;4;0;0
BrT Fixa;MAIRIPOTABA;GO;2015-06-22;4;0;0
Telefônica;EMILIANOPOLIS;SP;2015-06-22;4;0;0
OI Fixa;SAO BENTO ABADE;MG;2015-06-22;4;0;0
Embratel;SAPIRANGA;RS;2015-06-22;4;0;0
Telefônica;URU;SP;2015-06-22;4;0;0
OI Fixa;PRESIDENTE VARGAS;MA;2015-06-22;4;0;0
BrT Fixa;SANTO ANTONIO DO RIO VERDE;GO;2015-06-22;4;0;0
BrT Fixa;ITARUMA;GO;2015-06-22;4;0;0
OI Fixa;SERROLANDIA;BA;2015-06-22;4;0;0
BrT Fixa;VALE REAL;RS;2015-06-22;4;0;0
